nombre_diagnostico|nombre_diagnostico_psiquiatrico
Próstata nodular con síntomas de tracto urinario inferior|Esquizofrenia
Otro tipo de retención urinaria|Esquizofrenia
Presencia de implantes urogenitales|Esquizofrenia
Hipergliceridemia pura|Esquizofrenia
Hernia ventral sin obstrucción ni gangrena|Esquizofrenia
Discapacidad intelectual leve|Esquizofrenia
Discapacidad intelectual no especificada|Esquizofrenia
Tirotoxicosis, no especificada sin crisis tirotóxica ni tormenta tiroidea|Trastornos delirantes
Trastorno disociativo y de conversión, no especificado|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Hipotiroidismo, no especificado|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Taquicardia supraventricular|Esquizofrenia
Miocardiopatía dilatada|Esquizofrenia
Otras enfermedades mal definidas cardiacas|Esquizofrenia
Insuficiencia (de la válvula) mitral no reumática|Esquizofrenia
Hipertensión pulmonar primaria|Esquizofrenia
Enfermedad pulmonar obstructiva crónica con infección (aguda) de las vías respiratorias inferiores|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Otros trastornos respiratorios especificados|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Enfermedad cardiaca y renal crónica hipertensiva con insuficiencia cardiaca y enfermedad renal crónica estadios 1 a 4 o enfermedad renal crónica no especificada|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Insuficiencia cardiaca, no especificada|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Enfermedad renal crónica, no especificada|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Insuficiencia respiratoria no especificada, sin especificar si con hipoxia o con hipercapnia|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Fibrilación auricular no especificada|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Uso prolongado (actual) de anticoagulantes|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Enfermedades de páncreas, no especificadas|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Otras enfermedades del mediastino, no clasificables bajo otro concepto|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Necesidad de supervisión continua|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Ausencia adquirida de ambos, de cuello uterino y de útero|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Estado de extracción de catarata, ojo no especificado|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Historia personal de infecciones del tracto urinario|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Trastorno de somatización|Esquizofrenia
Estenosis vertebral, región lumbar|Esquizofrenia
Historia personal de otras neoplasias malignas de piel|Esquizofrenia
Ruptura familiar por separación y divorcio|Trastornos esquizoafectivos
Fractura desplazada de trocánter mayor de fémur izquierdo, contacto inicial por fractura cerrada|Esquizofrenia
Edema de la laringe|Esquizofrenia
Estado de vasectomía|Esquizofrenia
Neoplasia maligna de próstata|Esquizofrenia
Otra terapia prolongada (actual) con medicamentos|Esquizofrenia
Trastorno de personalidad, no especificado|Trastornos delirantes
Dependencia de alcohol, sin complicaciones|Trastornos delirantes
Neoplasia maligna de próstata|Trastornos delirantes
Historia personal de irradiación|Trastornos delirantes
Trastorno obsesivo-compulsivo, no especificado|Trastornos esquizoafectivos
Historia personal de otras enfermedades infecciosas y parasitarias|Trastornos esquizoafectivos
Dependencia de cannabis, sin complicaciones|Trastornos delirantes
Trastorno de personalidad narcisista|Trastornos delirantes
Hiperprolactinemia|Trastornos delirantes
Historia familiar de abuso y dependencia a otras sustancias psicoactivas|Trastornos delirantes
Diabetes mellitus tipo 2 con hiperosmolaridad sin coma hiperglucémico hiperosmolar no cetósico (CHHNC)|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Fallo renal agudo, no especificado|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Deshidratación|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Astenia|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Prolapso uterovaginal completo|Esquizofrenia
Displasia del cervix, no especificada|Esquizofrenia
Rectocele|Esquizofrenia
Ausencia adquirida de ambos, de cuello uterino y de útero|Esquizofrenia
Aterosclerosis de arterias nativas de extremidades con claudicación intermitente, extremidad no especificada|Esquizofrenia
Trastorno esquizoafectivo, tipo depresivo|Trastornos esquizoafectivos
Hipotiroidismo posprocedimiento|Trastornos esquizoafectivos
Rabdomiolisis|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Dependencia de cocaína, en remisión|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Dependencia de cannabis, en remisión|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Granulomatosis de Wegener, sin afectación renal|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Apnea obstructiva del sueño (del adulto) (pediátrica)|Esquizofrenia
Enfermedad renal crónica, estadio 4 (grave)|Esquizofrenia
Hipotiroidismo, no especificado|Esquizofrenia
Hidrocefalia, no especificada|Esquizofrenia
Polidipsia|Esquizofrenia
Hipopotasemia|Esquizofrenia
Somnolencia|Esquizofrenia
Disartria y anartria|Esquizofrenia
Cor pulmonale (crónico)|Esquizofrenia
Edema, no especificado|Esquizofrenia
Enfermedad cardiaca y renal crónica hipertensiva sin insuficiencia cardiaca, con enfermedad renal crónica en estadio 1 a 4 o enfermedad renal crónica no especificada|Esquizofrenia
Enfermedad cardíaca hipertensiva con insuficiencia cardiaca|Trastornos delirantes
Insuficiencia cardiaca, no especificada|Trastornos delirantes
Fibrilación auricular no especificada|Trastornos delirantes
Uso prolongado (actual) de aspirina|Trastornos delirantes
Insomnio, no especificado|Trastorno psicótico breve
Historia personal de otros trastornos mentales y del comportamiento|Trastornos delirantes
Neumonía, microorganismo no especificado|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Enfermedad de Alzheimer, no especificada|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Demencia en otras enfermedades clasificadas bajo otro concepto, gravedad no especificada, con alteración del comportamiento|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Osteoporosis relacionada con la edad, sin fractura patológica actual|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Anemia ferropénica secundaria a pérdida de sangre (crónica)|Trastornos delirantes
Otras alteraciones fecales|Trastornos delirantes
Hipercolesterolemia pura, no especificada|Trastornos delirantes
Trastorno de acaparamiento compulsivo|Trastornos delirantes
Historia personal de neumonía (recurrente)|Trastornos delirantes
Historia personal de otro tipo de trombosis y embolia venosas|Trastornos delirantes
Pólipo del cuerpo uterino|Esquizofrenia
Complicación de atención quirúrgica y médica, no especificada, contacto inicial|Esquizofrenia
Extirpación de otro órgano (parcial) (total) como causa de reacción anormal del paciente o de complicación posterior, sin mención de evento adverso en el momento del procedimiento|Esquizofrenia
Mareo y desvanecimiento|Esquizofrenia
Incontinencia urinaria no especificada|Esquizofrenia
Dependencia de cannabis, con trastorno psicótico con ideas delirantes|Trastornos esquizoafectivos
Dependencia de cannabis, con trastorno psicótico con alucinaciones|Trastornos esquizoafectivos
Dependencia de cocaína, con trastorno psicótico con ideas delirantes inducido por cocaína|Trastornos esquizoafectivos
Dependencia de cocaína, con trastorno psicótico con alucinaciones inducido por cocaína|Trastornos esquizoafectivos
Insomnio debido a otro trastorno mental|Trastornos esquizoafectivos
Hipotiroidismo subclínico por carencia de yodo|Trastornos esquizoafectivos
Bronquitis, no especificada como aguda o crónica|Trastornos esquizoafectivos
Historia personal de neoplasia maligna de otras partes del útero|Trastornos esquizoafectivos
Estado de infección asintomática por virus de inmunodeficiencia humana [VIH]|Trastornos delirantes
Fibromatosis de fascia palmar [de Dupuytren]|Trastornos delirantes
Estado de alergia a otros antibióticos|Trastornos delirantes
Envenenamiento por cocaína, accidental (no intencionado), contacto inicial|Esquizofrenia
Abuso de cocaína, con intoxicación no especificada|Esquizofrenia
Abuso de cannabis con intoxicación, no especificada|Esquizofrenia
Fractura no especificada de extremo inferior de radio derecho, contacto inicial por fractura cerrada|Trastornos delirantes
Fractura no especificada de extremo inferior de radio izquierdo, contacto inicial por fractura cerrada|Trastornos delirantes
Desgarro de músculo, fascia y tendón extensor de pulgar derecho a nivel de muñeca y mano, contacto inicial|Trastornos delirantes
Fractura no especificada de extremo superior de húmero izquierdo, contacto inicial por fractura cerrada|Trastornos delirantes
Exposición a otros factores especificados, contacto inicial|Trastornos delirantes
Venas varicosas asintomáticas de extremidad inferior derecha|Esquizofrenia
Hiperuricemia sin signos de artritis inflamatoria y enfermedad tofácea|Esquizofrenia
Incumplimiento del paciente con otro tratamiento y régimen médico|Trastorno psicótico breve
Infarto cerebral, no especificado|Esquizofrenia
Hipoestesia cutánea|Esquizofrenia
Otros trastornos del nervio facial|Esquizofrenia
Trastorno no especificado de la función vestibular, oído no especificado|Trastornos delirantes
Estado de alergia a anestésico|Trastornos delirantes
Otros trastornos especificados del cerebro|Trastornos delirantes
Insomnio debido a otro trastorno mental|Esquizofrenia
Otros tipos de glucemia anormal|Esquizofrenia
Pérdida de audición no especificada, bilateral|Esquizofrenia
Otros trastornos de ansiedad especificados|Esquizofrenia
Colecistitis crónica|Esquizofrenia
Isquemia traumática de músculo, contacto inicial|Esquizofrenia
Flebitis y tromboflebitis de localización no especificada|Esquizofrenia
Contusión de pabellón auricular izquierdo, contacto inicial|Esquizofrenia
Lugar no especificado en hospital como lugar del acontecimiento de la causa externa|Esquizofrenia
Historia personal de neoplasia maligna de localización no especificada de labio, cavidad oral y faringe|Esquizofrenia
Ausencia adquirida de laringe|Esquizofrenia
Estado de traqueostomía|Esquizofrenia
Dependencia de otra sustancia psicoactiva, con abstinencia sin complicaciones|Trastornos esquizoafectivos
Otros trastornos internos de rodilla derecha|Trastornos esquizoafectivos
Enfermedad de Parkinson|Esquizofrenia
Efecto adverso de glucocorticoides y análogos sintéticos, contacto inicial|Esquizofrenia
Hepatitis vírica crónica tipo C|Esquizofrenia
Osteoporosis relacionada con la edad, sin fractura patológica actual|Esquizofrenia
Enfermedad de Alzheimer, no especificada|Esquizofrenia
Consumo de cannabis no especificado, sin complicaciones|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Otros trastornos especificados del movimiento binocular|Esquizofrenia
Estado de extracción de catarata, ojo derecho|Esquizofrenia
Estado de extracción de catarata, ojo izquierdo|Esquizofrenia
Trastorno de ansiedad, no especificado|Trastornos delirantes
Dermatitis facticia|Trastornos delirantes
Queratosis actínica|Trastornos delirantes
Edema angioneurótico, contacto inicial|Trastornos delirantes
Estado de alergia a otras sustancias no medicinales|Trastornos delirantes
Otros tipos de trastornos específicos de personalidad|Esquizofrenia
Dependencia de alcohol con abstinencia, no especificada|Esquizofrenia
Historia personal de otros trastornos mentales y del comportamiento|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Gastroenteritis y colitis no infecciosas, no especificadas|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Enfermedad de Parkinson|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Problemas relacionados con la vida en una institución residencial|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Impetiginización de otras dermatosis|Trastornos esquizoafectivos
Pólipo del cuerpo uterino|Trastornos esquizoafectivos
Presencia de audífono externo|Trastornos delirantes
Artrosis de cadera primaria bilateral|Esquizofrenia
Trastorno de personalidad antisocial|Esquizofrenia
Dependencia de cannabis, con trastorno psicótico no especificado|Esquizofrenia
